solar_generation,date (YYYYMMDD),hour (HHMM),variable_1,variable_2,variable_3,variable_4,variable_5
0,20130101,0,4.8,75,0.47,5.08,131.44
0,20130101,100,4.4,85,0.47,4.6,74.87
0,20130101,200,4.5,87,0.47,4.7,90.21
0,20130101,300,4.3,93,0.49,4.5,47.47
0,20130101,400,4.2,96,0.53,3.81,56.51
0,20130101,500,4.4,97,0.52,4.62,53.16
0,20130101,600,4.6,98,0.53,3.84,115.41
0,20130101,700,5.2,97,0.53,4.18,92.72
0,20130101,800,5.9,97,0.54,4.43,95.9
18.09,20130101,900,6.7,97,0.53,5.14,24.84
22.3,20130101,1000,7.2,96,0.54,5.16,86.2
24.51,20130101,1100,7.3,98,0.54,5.15,61.62
59.64,20130101,1200,7.5,98,0.53,4.92,47.1
14.61,20130101,1300,7,98,0.53,5.43,30.67
30.29,20130101,1400,5.6,96,0.53,4.84,96.56
21.76,20130101,1500,5.7,95,0.54,4.32,78.88
2.07,20130101,1600,5.6,96,0.54,4.35,61.17
0,20130101,1700,4.5,96,0.54,4.78,36.67
0,20130101,1800,4.2,96,0.54,3.39,83.76
0,20130101,1900,4.2,97,0.54,4.71,121.05
0,20130101,2000,4.1,97,0.54,4.92,103.28
0,20130101,2100,3.1,97,0.54,4.29,6.56
0,20130101,2200,1.6,98,0.53,3.67,10.92
0,20130101,2300,1,98,0.53,3.48,29.43
0,20130102,0,0.8,98,0.51,4.47,147.88
0,20130102,100,0.7,98,0.51,2.82,70.04
0,20130102,200,0.4,98,0.51,4.83,4.7
0,20130102,300,0.1,98,0.5,5.08,124.16
0,20130102,400,-0.1,99,0.5,4.97,92.52
0,20130102,500,-0.4,98,0.5,5.13,36.6
0,20130102,600,-0.7,98,0.5,4.98,105.23
0,20130102,700,-1,97,0.49,4.73,33.53
9.65,20130102,800,-1.4,95,0.49,5.55,69.64
67.68,20130102,900,-1.4,91,0.49,5.21,107.6
105.44,20130102,1000,-1,93,0.49,5.53,23.68
112.69,20130102,1100,-0.7,92,0.49,5.78,149.21
69.84,20130102,1200,-0.7,92,0.49,5.31,96.33
46.48,20130102,1300,-0.8,92,0.49,5.69,44.67
40.8,20130102,1400,-0.8,93,0.49,5.37,114.57
32.49,20130102,1500,-0.7,90,0.49,4.18,97.79
9.07,20130102,1600,-0.9,90,0.49,5.02,59.82
0,20130102,1700,-1,92,0.49,5.21,19.49
0,20130102,1800,-1,93,0.49,4.16,130.14
0,20130102,1900,-1,92,0.49,4.63,88.63
0,20130102,2000,-1,91,0.49,4.82,49.52
0,20130102,2100,-1.1,90,0.49,4.98,5.43
0,20130102,2200,-1.2,90,0.49,4.39,129.88
0,20130102,2300,-1.3,90,0.49,4.34,78.37
0,20130103,0,-1.4,88,0.49,4.25,45.98
0,20130103,100,-1.5,87,0.49,4.15,92.36
0,20130103,200,-1.7,86,0.49,4,6.98
0,20130103,300,-1.7,85,0.49,4.85,121.28
0,20130103,400,-1.8,86,0.49,4.99,102.31
0,20130103,500,-2.2,86,0.49,4.52,28.23
0,20130103,600,-2.5,88,0.49,4.06,37.39
0,20130103,700,-2.8,88,0.49,5.3,93.77
24.98,20130103,800,-2.9,87,0.49,6.15,39.85
148.38,20130103,900,-2.3,84,0.49,6.18,100.8
214.19,20130103,1000,-1.4,81,0.49,6.5,108.13
349.47,20130103,1100,-0.5,78,0.47,6.01,128.9
525.88,20130103,1200,1.1,63,0.48,6.48,83.32
501.08,20130103,1300,2.2,59,0.49,5.92,138.28
427.66,20130103,1400,3.1,56,0.48,5.95,135.96
296.73,20130103,1500,3.3,54,0.48,5.83,147.54
141.19,20130103,1600,2.7,55,0.46,4.76,6.72
17.82,20130103,1700,1.2,58,0.48,4.1,60.07
0,20130103,1800,-0.3,65,0.48,4.15,105.18
0,20130103,1900,-2.1,78,0.48,4.68,123.75
0,20130103,2000,-3.2,85,0.48,4.3,30.48
0,20130103,2100,-4.1,91,0.48,4.72,103.17
0,20130103,2200,-4.9,92,0.48,4.85,96.65
0,20130103,2300,-3.9,81,0.48,5.04,124.26
0,20130104,0,-3.9,78,0.48,4.55,140.1
0,20130104,100,-4.8,85,0.48,4.6,28.87
0,20130104,200,-6,90,0.48,5,65.85
0,20130104,300,-6.6,91,0.48,4.38,89.39
0,20130104,400,-6.9,93,0.48,4.31,60.2
0,20130104,500,-6.9,93,0.48,4.08,113.11
0,20130104,600,-6.6,90,0.48,4.32,72.84
0,20130104,700,-6.4,89,0.47,5.12,29.25
66.01,20130104,800,-5.6,90,0.47,5.92,111.98
200.36,20130104,900,-2.7,82,0.47,6.11,0.62
298.44,20130104,1000,-1.4,75,0.47,5.59,33.84
299.56,20130104,1100,0.2,68,0.47,6.43,106.8
513.54,20130104,1200,1.6,62,0.48,5.96,38.08
503.89,20130104,1300,2.4,56,0.47,5.71,26.26
431.54,20130104,1400,3,53,0.47,5.57,124.77
304.59,20130104,1500,3.1,50,0.47,6.19,55.52
152.72,20130104,1600,2.6,50,0.47,4.79,119.63
23.68,20130104,1700,0.7,60,0.47,4.54,138.25
0,20130104,1800,-1.4,71,0.47,4.16,109.64
0,20130104,1900,-2.7,80,0.47,4.16,110.68
0,20130104,2000,-3.8,86,0.47,4.16,71.08
0,20130104,2100,-4.2,85,0.47,4.41,14.57
0,20130104,2200,-4.2,82,0.47,5.15,98.01
0,20130104,2300,-5.3,88,0.47,3.94,69.5
0,20130105,0,-5.9,91,0.47,4.14,138.85
0,20130105,100,-6.4,92,0.47,5.09,108.28
0,20130105,200,-6.7,92,0.47,4.51,10.98
0,20130105,300,-7,92,0.47,4.65,27.41
0,20130105,400,-7,91,0.46,4.77,93.5
0,20130105,500,-6.8,91,0.47,4.98,90.94
0,20130105,600,-6.3,90,0.46,4.74,120.26
0,20130105,700,-6.3,90,0.47,5.12,148.19
56.63,20130105,800,-5.1,90,0.46,5.45,112.93
236.17,20130105,900,-1.8,81,0.46,6,77.4
356.93,20130105,1000,1.3,66,0.46,5.87,1.07
418.63,20130105,1100,2.6,57,0.46,6.53,8.72
423.12,20130105,1200,3.9,53,0.46,6.09,143.46
357.53,20130105,1300,5.4,47,0.46,5.92,119.94
116.06,20130105,1400,5.8,44,0.46,5.07,22.29
83.87,20130105,1500,5.1,47,0.46,5.19,48.55
29.42,20130105,1600,5,47,0.46,4.55,41.14
0,20130105,1700,4.8,49,0.47,4.59,82.2
0,20130105,1800,4.1,59,0.46,4.48,48.96
0,20130105,1900,3.7,62,0.46,5.04,81.15
0,20130105,2000,3.5,62,0.46,4.1,73.75
0,20130105,2100,3.5,58,0.46,4.34,147.16
0,20130105,2200,3.4,58,0.47,4.42,24.81
0,20130105,2300,3.2,59,0.46,5.19,55.2
0,20130106,0,2.7,64,0.46,4.76,39.05
0,20130106,100,2.7,68,0.46,4.81,101.67
0,20130106,200,2.1,77,0.46,4.09,2.54
0,20130106,300,1.8,82,0.46,5.02,147.22
0,20130106,400,1.8,84,0.46,4.44,69.82
0,20130106,500,1.8,87,0.46,4.51,40.34
0,20130106,600,1.7,88,0.46,4.64,97.28
0,20130106,700,1.8,88,0.46,3.46,140.18
1.24,20130106,800,1.8,87,0.46,5.59,69.84
55.36,20130106,900,2.2,83,0.46,5.86,3.81
152.79,20130106,1000,3.1,76,0.46,5.66,108.31
265.34,20130106,1100,3.9,70,0.46,5.84,102.52
200.26,20130106,1200,4,70,0.46,5.58,18.36
193.72,20130106,1300,4.4,70,0.46,5.63,131.07
204.03,20130106,1400,4.9,67,0.46,5.31,104.09
103.78,20130106,1500,5.1,67,0.46,4.82,38.74
29,20130106,1600,5.5,65,0.46,5.07,60.25
3.55,20130106,1700,5.3,61,0.46,4.95,14.34
0,20130106,1800,4.2,65,0.46,4.72,98.34
0,20130106,1900,2.5,69,0.45,4.48,124.68
0,20130106,2000,1.3,71,0.45,4.14,17.49
0,20130106,2100,0.5,77,0.45,5.12,86.2
0,20130106,2200,-1.4,81,0.45,4.84,142.1
0,20130106,2300,-2,84,0.45,2.77,55.27
0,20130107,0,-2.1,82,0.45,3.99,120.85
0,20130107,100,-2.5,83,0.45,4.64,91.95
0,20130107,200,-3.1,84,0.45,4.6,13.98
0,20130107,300,-3.6,84,0.45,5.07,83.35
0,20130107,400,-4.3,86,0.45,4.34,133.16
0,20130107,500,-4.6,87,0.45,4.32,39.34
0,20130107,600,-4.6,87,0.45,3.56,125.75
0,20130107,700,-4.4,88,0.45,5.79,18.95
70.39,20130107,800,-4.1,88,0.45,5.83,119.67
239.1,20130107,900,-2.2,83,0.45,5.87,144.19
374.93,20130107,1000,0.3,74,0.45,6.33,90.5
484.56,20130107,1100,3,63,0.45,6.7,108.57
533,20130107,1200,5.3,53,0.42,5.75,104.75
522.7,20130107,1300,7.5,45,0.45,5.92,137.66
447.58,20130107,1400,9.2,39,0.45,6.11,12.27
317.62,20130107,1500,9.9,36,0.45,5.35,105.82
157.87,20130107,1600,9.9,35,0.45,4.99,29.28
23.5,20130107,1700,7.8,41,0.45,5.03,71.63
0,20130107,1800,5.8,46,0.45,4.59,88.87
0,20130107,1900,2.2,60,0.45,4.24,1.32
0,20130107,2000,1.3,64,0.45,4.58,29.92
0,20130107,2100,1,63,0.45,4.09,136.44
0,20130107,2200,0,69,0.45,5.16,131.7
0,20130107,2300,0.5,70,0.45,4.11,96.31
0,20130108,0,0.2,72,0.45,4.76,21.7
0,20130108,100,0.8,70,0.45,3.94,51.62
0,20130108,200,1.9,65,0.45,5.15,61.1
0,20130108,300,1.6,66,0.45,4.72,108.25
0,20130108,400,1.1,67,0.45,5.23,17.63
0,20130108,500,1.2,67,0.45,4.12,141.01
0,20130108,600,0.6,70,0.45,4.9,101.68
0,20130108,700,-1.3,78,0.45,4.99,143.88
30.12,20130108,800,-2,85,0.45,6.07,40.42
152.12,20130108,900,0.9,80,0.45,6.5,32.77
327.43,20130108,1000,4.8,67,0.45,5.78,139.11
477.88,20130108,1100,8.4,62,0.45,6.19,30.51
510.85,20130108,1200,9.9,60,0.45,6.6,47.65
505.03,20130108,1300,10.8,57,0.45,6.15,143.02
411.81,20130108,1400,11.4,54,0.45,6.08,145.68
257.32,20130108,1500,11.4,53,0.45,5.66,124.22
117.97,20130108,1600,10.2,60,0.45,4.56,92.39
8.3,20130108,1700,8.8,66,0.45,4.86,34.78
0,20130108,1800,7.1,73,0.45,4.68,62.8
0,20130108,1900,7,74,0.45,4.94,116.6
0,20130108,2000,7.2,78,0.45,4.3,4.69
0,20130108,2100,7.8,84,0.45,3.96,71.69
0,20130108,2200,7.4,87,0.45,5.17,15.53
0,20130108,2300,7.6,88,0.45,4.77,64.87
0,20130109,0,9,90,0.45,4.96,116.98
0,20130109,100,9.7,91,0.45,4.44,112.54
0,20130109,200,10.2,92,0.45,5.07,48.76
0,20130109,300,10.6,92,0.45,5.14,144.62
0,20130109,400,10.9,91,0.45,4.5,43.49
0,20130109,500,11,92,0.45,4.73,13.77
0,20130109,600,11,94,0.45,4.78,34.81
0,20130109,700,10.8,96,0.45,4.26,78.04
0,20130109,800,11,96,0.45,4.83,148.64
22.84,20130109,900,11.2,96,0.45,5.17,39.25
45.72,20130109,1000,11.6,96,0.46,5.31,108
40.15,20130109,1100,12.1,97,0.46,5.29,119.72
104.4,20130109,1200,12.7,96,0.46,5.98,8.09
110.4,20130109,1300,13.1,95,0.46,5.45,131.22
41,20130109,1400,12.8,95,0.46,5.33,91.8
57.56,20130109,1500,11.9,95,0.46,5.21,146.42
34.05,20130109,1600,12.6,97,0.46,5.07,11.9
5.18,20130109,1700,12.4,97,0.46,4.65,132.68
0,20130109,1800,12.3,97,0.46,4.49,1.74
0,20130109,1900,12,98,0.46,5.37,88.18
0,20130109,2000,11.7,98,0.46,3.97,108.65
0,20130109,2100,11.6,98,0.46,4.77,147.44
0,20130109,2200,11.5,98,0.46,3.98,68.84
0,20130109,2300,11.4,98,0.46,4.16,21.72
0,20130110,0,11.3,99,0.46,4.56,30.57
0,20130110,100,10.9,100,0.46,4.46,64.92
0,20130110,200,10.2,100,0.46,0.55,15.95
0,20130110,300,9.9,100,0.46,5.27,110.03
0,20130110,400,9.9,100,0.46,4.16,136.78
0,20130110,500,10.1,100,0.46,4.57,32.61
0,20130110,600,10.4,100,0.46,4.98,8.55
0,20130110,700,10.3,98,0.46,5.04,95.88
4.92,20130110,800,10.3,96,0.46,4.76,104.23
37.92,20130110,900,10.5,94,0.46,5.07,143.13
53.48,20130110,1000,11.4,91,0.46,5.28,43.52
79.98,20130110,1100,11.8,90,0.46,5.63,124.79
92.61,20130110,1200,12.7,88,0.46,5.84,103.79
173.14,20130110,1300,13.5,85,0.46,5.85,139.69
155.12,20130110,1400,15.4,81,0.46,6.01,32.63
135.17,20130110,1500,16.1,79,0.46,5.5,130.02
60.27,20130110,1600,15.9,78,0.46,5,141.64
6.35,20130110,1700,15.2,79,0.47,4.98,90.32
0,20130110,1800,14.5,81,0.46,4.19,133.7
0,20130110,1900,14.1,81,0.46,4.94,35.02
0,20130110,2000,14,80,0.46,4.28,125.76
0,20130110,2100,14.6,76,0.47,4.75,139.32
0,20130110,2200,14.4,79,0.46,4.57,41.29
0,20130110,2300,14.6,79,0.46,4.63,7.87
0,20130111,0,14.5,80,0.47,5.31,7.68
0,20130111,100,14.6,82,0.46,4.86,37.93
0,20130111,200,14.6,84,0.46,5.31,0.41
0,20130111,300,14.8,84,0.47,4.28,119.72
0,20130111,400,14.8,89,0.46,4.29,79.62
0,20130111,500,14.6,92,0.47,5.05,31
0,20130111,600,15,92,0.47,4.71,24.07
0,20130111,700,15.2,92,0.47,4.39,26.5
1.94,20130111,800,15.3,92,0.47,4.77,43.71
10.56,20130111,900,15.4,93,0.47,5.49,121.75
59.18,20130111,1000,15.9,92,0.47,5.3,58.23
99.71,20130111,1100,16.6,87,0.47,5.67,30.7
129.27,20130111,1200,17.2,83,0.47,5.95,128.22
233.7,20130111,1300,18,77,0.47,5.98,36.49
345.04,20130111,1400,19,70,0.47,6.27,120.78
223.13,20130111,1500,19.2,67,0.47,5.77,51.57
107.72,20130111,1600,18.7,69,0.47,4.69,18.08
11.9,20130111,1700,17.5,75,0.47,4.41,77.43
0,20130111,1800,16.3,84,0.47,4.37,66.67
0,20130111,1900,15.7,90,0.47,4.89,77.18
0,20130111,2000,16.1,91,0.47,4.26,89.98
0,20130111,2100,16.3,91,0.47,3.74,85
0,20130111,2200,16.5,91,0.47,4.22,128.84
0,20130111,2300,16.7,91,0.47,4.61,95.4
0,20130112,0,16.7,92,0.47,5.32,13.77
0,20130112,100,16.8,92,0.47,4.78,115.98
0,20130112,200,16.7,93,0.47,4.35,84.61
0,20130112,300,16.4,94,0.47,4.59,64.46
0,20130112,400,16.4,94,0.47,3.8,81.64
0,20130112,500,16.6,93,0.47,4.24,125.78
0,20130112,600,16.7,92,0.47,4.58,44.94
0,20130112,700,16.6,92,0.47,4.68,28.11
24.94,20130112,800,16.9,91,0.47,5.17,83.98
59.98,20130112,900,17.6,90,0.47,5.2,17.44
84.36,20130112,1000,17.9,88,0.47,5.51,49.48
78.29,20130112,1100,17.3,93,0.47,5.57,124.13
116.46,20130112,1200,17.6,91,0.47,6.2,103.83
146.01,20130112,1300,17.9,88,0.47,5.9,61.39
76.63,20130112,1400,18.1,84,0.47,5.72,55.32
35.09,20130112,1500,17.2,92,0.47,4.76,20.43
19.05,20130112,1600,17.4,89,0.47,4.94,141.36
0,20130112,1700,17.3,88,0.47,4.72,12.79
0,20130112,1800,17.2,88,0.47,4.11,56.74
0,20130112,1900,17.3,85,0.47,4.63,105.5
0,20130112,2000,17.3,83,0.47,1.73,4.57
0,20130112,2100,17.1,83,0.47,5.02,50.49
0,20130112,2200,16.7,82,0.47,3.83,43.07
0,20130112,2300,16.4,82,0.47,3.8,44.71
0,20130113,0,16.5,79,0.47,4.26,72.22
0,20130113,100,16.1,81,0.47,5.42,72.94
0,20130113,200,16,82,0.47,4.54,131.6
0,20130113,300,15.9,82,0.47,4.36,71.24
0,20130113,400,15.9,81,0.47,4.14,9.88
0,20130113,500,15.6,82,0.47,4.87,120.56
0,20130113,600,15.6,82,0.47,4.06,22.18
0,20130113,700,15.6,85,0.47,4.91,73.86
0,20130113,800,15.4,87,0.47,5.13,94.8
7.38,20130113,900,15.2,91,0.46,5.54,84.47
20.4,20130113,1000,15.3,93,0.47,4.99,9.65
77.06,20130113,1100,15.5,94,0.47,5.05,38.12
36.65,20130113,1200,15.6,94,0.47,5.12,70.57
86.95,20130113,1300,15.9,92,0.47,5.07,9.09
59.57,20130113,1400,15.9,94,0.48,5.04,135.4
36.68,20130113,1500,16.4,91,0.48,4.97,99.48
40.93,20130113,1600,16.7,89,0.48,5.02,90.14
0,20130113,1700,16.3,91,0.49,4.37,127.24
0,20130113,1800,16,93,0.49,4.52,135.09
0,20130113,1900,14.8,94,0.51,4.53,38.57
0,20130113,2000,13.3,95,0.51,4.39,27.72
0,20130113,2100,7.9,93,0.51,4.86,121.87
0,20130113,2200,4.2,94,0.51,5.41,76.15
0,20130113,2300,2.3,95,0.52,4.15,95.29
0,20130114,0,2.6,94,0.52,3.34,115.12
0,20130114,100,2.6,93,0.52,5.31,22.47
0,20130114,200,2.4,94,0.52,4.34,25.12
0,20130114,300,2.3,93,0.52,4.73,65.3
0,20130114,400,2.2,93,0.52,4.64,76.16
0,20130114,500,1.7,95,0.52,3.75,77.93
0,20130114,600,1.5,97,0.52,3.76,109.83
0,20130114,700,1.3,98,0.52,4.95,95.78
0,20130114,800,1.1,98,0.52,4.76,58.38
12.35,20130114,900,0.8,98,0.52,4.84,63.77
42.52,20130114,1000,1,98,0.52,4.78,100.98
37.42,20130114,1100,1.2,98,0.51,5.12,80.83
38.63,20130114,1200,1.3,98,0.5,5.32,101.66
45.41,20130114,1300,1.5,98,0.5,5.49,149.71
25.81,20130114,1400,1.4,97,0.5,5.16,59.79
10.16,20130114,1500,1,97,0.51,4.83,147.03
1.94,20130114,1600,-0.2,95,0.51,4.5,146.33
0,20130114,1700,-0.5,93,0.52,4.73,65.96
0,20130114,1800,-0.4,92,0.51,5.08,143
0,20130114,1900,-0.5,93,0.52,4.29,104.5
0,20130114,2000,-0.2,94,0.52,3.39,7.04
0,20130114,2100,0,96,0.52,5.06,65.66
0,20130114,2200,0,96,0.52,4.61,113.6
0,20130114,2300,0.1,96,0.52,4.41,12.68
0,20130115,0,0.1,97,0.52,4.19,142.42
0,20130115,100,0.1,98,0.52,4.06,29.37
0,20130115,200,0.1,98,0.52,4.7,140.81
0,20130115,300,0,98,0.52,4.3,79.59
0,20130115,400,-0.1,98,0.52,4.49,74.6
0,20130115,500,-0.1,98,0.52,4.66,134.85
0,20130115,600,-0.1,98,0.52,5.39,45.75
0,20130115,700,-0.2,98,0.52,4.38,127.54
2.22,20130115,800,-0.2,98,0.52,5.19,135.75
12.31,20130115,900,-0.1,97,0.52,4.81,22.81
37.58,20130115,1000,0.3,96,0.52,4.79,125.86
37.89,20130115,1100,0.6,97,0.53,5.22,16.93
39.59,20130115,1200,0.7,97,0.53,5.23,109.95
52.78,20130115,1300,0.8,97,0.53,5.24,34.15
33.17,20130115,1400,1,97,0.52,4.65,12.76
11.91,20130115,1500,1.1,97,0.53,4.49,73.55
1.58,20130115,1600,1.2,97,0.53,5.15,90.26
0,20130115,1700,0.9,96,0.53,5.16,46.3
0,20130115,1800,0.7,96,0.53,4.13,66.69
0,20130115,1900,0.7,96,0.53,4.56,65.76
0,20130115,2000,0.6,96,0.53,4.47,139.94
0,20130115,2100,0.5,96,0.53,4.54,15.26
0,20130115,2200,0.6,96,0.53,4.85,63.36
0,20130115,2300,0.7,96,0.53,5.13,142.49
0,20130116,0,1.2,97,0.53,4.9,59.59
0,20130116,100,1.9,97,0.53,3.81,26.44
0,20130116,200,1.9,97,0.53,3.16,5.53
0,20130116,300,1.6,96,0.53,5.13,52.61
0,20130116,400,1.7,96,0.53,4.55,50.41
0,20130116,500,2.2,97,0.53,4.77,55.34
0,20130116,600,2.2,96,0.53,4.54,38.18
0,20130116,700,2.6,97,0.53,4.69,5.24
0,20130116,800,2.4,96,0.53,4.61,36.25
5.29,20130116,900,1.8,97,0.53,5.46,26.83
11.6,20130116,1000,1.4,98,0.53,5.28,149.05
28.25,20130116,1100,1.3,98,0.54,5.21,22.77
45.88,20130116,1200,1.6,98,0.54,4.73,105.42
39.18,20130116,1300,1.8,96,0.54,4.72,101.83
24.02,20130116,1400,0.9,96,0.53,5.66,51.94
48.01,20130116,1500,0.9,95,0.53,5.01,94.31
16.72,20130116,1600,1.2,94,0.54,4.76,3.39
1.13,20130116,1700,1.6,95,0.54,4.59,75.7
0,20130116,1800,1.7,96,0.54,3.19,147.5
0,20130116,1900,1.9,95,0.53,5.32,29.22
0,20130116,2000,2.2,95,0.53,4.22,45.19
0,20130116,2100,2.2,95,0.53,4.44,131.01
0,20130116,2200,2.5,95,0.53,4.48,62.45
0,20130116,2300,2.5,95,0.53,4.67,134.64
0,20130117,0,2.2,95,0.52,4.62,47.27
0,20130117,100,1.8,96,0.52,4.15,59.12
0,20130117,200,1.6,89,0.52,5.02,7.59
0,20130117,300,1.2,79,0.51,5.02,138.92
0,20130117,400,1,74,0.51,4.28,68.15
0,20130117,500,0.8,70,0.5,4.79,61.19
0,20130117,600,0.5,71,0.5,4.89,30.42
0,20130117,700,0.4,68,0.5,5.16,75.68
0,20130117,800,0.4,70,0.49,4.55,100.3
13.48,20130117,900,0.3,72,0.49,5.33,53.33
35.02,20130117,1000,0.3,73,0.49,5.61,6.14
55.38,20130117,1100,0.4,73,0.49,5.56,114.73
88.78,20130117,1200,0.7,70,0.49,5.39,78.49
88.92,20130117,1300,0.6,71,0.49,5.75,110.36
95.66,20130117,1400,1,78,0.49,4.94,42.73
63.43,20130117,1500,1.6,73,0.49,5.46,67.91
55.25,20130117,1600,1.7,71,0.49,5.23,133.37
19.28,20130117,1700,1.5,72,0.49,4.85,110.62
0,20130117,1800,0.8,76,0.49,4.98,32.1
0,20130117,1900,0.3,77,0.49,4.83,50.13
0,20130117,2000,-0.2,75,0.49,3.86,85.59
0,20130117,2100,-0.8,75,0.49,4.38,53.14
0,20130117,2200,-1,75,0.49,4.68,102.53
0,20130117,2300,-1.4,81,0.49,4.62,36.45
0,20130118,0,-2.1,85,0.48,4.65,63.01
0,20130118,100,-2.1,87,0.49,4.84,28.29
0,20130118,200,-2.5,89,0.49,5.35,31.62
0,20130118,300,-2.5,91,0.48,4.59,93.97
0,20130118,400,-3.3,92,0.48,4.69,68.12
0,20130118,500,-3.8,94,0.48,5.01,98.81
0,20130118,600,-4.1,95,0.48,5.16,72.51
0,20130118,700,-4.3,95,0.48,5.7,49.6
88.6,20130118,800,-3.8,90,0.48,5.56,12.29
260.44,20130118,900,-2.5,73,0.47,5.8,74.79
399.91,20130118,1000,-0.8,68,0.48,5.98,42.67
509.21,20130118,1100,1.3,64,0.48,5.77,133.78
562.77,20130118,1200,3.8,51,0.48,6.71,94.63
553.72,20130118,1300,5.9,37,0.47,6.5,77.15
482.89,20130118,1400,7,31,0.47,6.4,67.06
355.13,20130118,1500,7.5,30,0.47,5.92,108.22
190.85,20130118,1600,7.5,32,0.47,5.51,95.45
41.47,20130118,1700,5.9,39,0.47,3.92,82.96
0,20130118,1800,3.8,46,0.47,3.62,32.25
0,20130118,1900,1.2,64,0.47,5.23,96.67
0,20130118,2000,-0.8,78,0.47,4.3,69.03
0,20130118,2100,-1.8,83,0.47,4.26,35.33
0,20130118,2200,-2.3,88,0.47,4.25,51.48
0,20130118,2300,-2.3,79,0.47,4.68,67
0,20130119,0,-1.7,75,0.47,4.96,79.23
0,20130119,100,-1.7,77,0.47,4.16,71.69
0,20130119,200,-0.6,73,0.47,5.23,84.07
0,20130119,300,-2.1,79,0.47,4.31,61.08
0,20130119,400,-2.6,82,0.47,4.73,126.34
0,20130119,500,-1,75,0.47,5.02,58.02
0,20130119,600,-0.6,72,0.47,3.84,10.53
0,20130119,700,-0.2,71,0.47,5.45,76.03
79.11,20130119,800,1,67,0.47,6.39,133.86
241.73,20130119,900,3,60,0.47,5.63,129.31
397.85,20130119,1000,5.1,54,0.47,5.89,25.46
504.36,20130119,1100,6.8,48,0.47,6.74,0.5
560.72,20130119,1200,8.6,42,0.47,6.16,150.11
552.96,20130119,1300,9.7,38,0.47,5.76,35.07
481.86,20130119,1400,10.4,36,0.46,6,1.33
356.65,20130119,1500,10.7,32,0.47,5.93,16.26
192.87,20130119,1600,10.3,32,0.47,4.85,123.19
41.81,20130119,1700,8.7,40,0.46,4.54,35.8
0,20130119,1800,6.5,50,0.47,5.13,83.58
0,20130119,1900,5.1,55,0.46,5.14,118.04
0,20130119,2000,4.6,56,0.47,3.7,58.34
0,20130119,2100,4,59,0.46,4.36,81.31
0,20130119,2200,3.5,61,0.46,3.4,94.19
0,20130119,2300,3.2,63,0.46,4.07,68.72
0,20130120,0,2.8,65,0.46,5.04,42.03
0,20130120,100,3,64,0.46,4.81,25.82
0,20130120,200,4.9,59,0.46,4.61,43.81
0,20130120,300,5.3,58,0.47,4.78,37.23
0,20130120,400,4.8,61,0.46,4.69,22.19
0,20130120,500,4.2,64,0.46,4.86,142.65
0,20130120,600,3.5,67,0.46,4.75,23.67
0,20130120,700,2.5,71,0.46,5.43,123.39
73.9,20130120,800,2.8,72,0.46,5.53,127.92
235.3,20130120,900,4.7,66,0.46,6.5,101.43
393.84,20130120,1000,5.8,65,0.47,6.12,142.08
505.15,20130120,1100,7,59,0.46,6.24,110.12
559.98,20130120,1200,8.4,46,0.46,6.32,119.72
550.59,20130120,1300,9.3,43,0.46,6.33,56.86
481.04,20130120,1400,9.5,40,0.46,6.08,91.45
355.56,20130120,1500,9.3,40,0.46,6.09,10.51
192.02,20130120,1600,9,41,0.46,4.91,144.13
42.1,20130120,1700,7.7,40,0.46,4.92,14.44
0,20130120,1800,5.6,45,0.46,5.17,101.39
0,20130120,1900,2,60,0.46,4.71,114.26
0,20130120,2000,0.4,70,0.46,5.06,149.48
0,20130120,2100,-0.8,74,0.46,4.39,125.89
0,20130120,2200,0.6,59,0.46,5.01,49.82
0,20130120,2300,-0.6,64,0.46,4.29,48.87
0,20130121,0,-2.6,75,0.46,4.69,29.38
0,20130121,100,-3.6,83,0.46,4.49,67.46
0,20130121,200,-4.3,88,0.44,4.75,89.36
0,20130121,300,-4.9,89,0.46,5.11,101.88
0,20130121,400,-5.3,86,0.46,4.89,147.78
0,20130121,500,-5.6,89,0.46,4.23,93.11
0,20130121,600,-5.6,89,0.46,4.72,140.54
0,20130121,700,-4.3,77,0.46,5.64,145.59
80.22,20130121,800,-3,62,0.45,5.72,90.02
233.24,20130121,900,-2.1,54,0.45,6,87.08
390.33,20130121,1000,-0.7,45,0.45,6.41,75.39
507.27,20130121,1100,0.1,37,0.45,6.35,147.52
563.72,20130121,1200,1.2,37,0.45,6.35,143.68
557.81,20130121,1300,1.8,38,0.45,6.18,83.03
487.86,20130121,1400,1.9,40,0.45,5.83,54.54
362.76,20130121,1500,1.5,42,0.45,5.65,87.96
198.31,20130121,1600,0.8,42,0.45,5.13,50.32
46.31,20130121,1700,-0.7,44,0.45,4.58,54.71
0,20130121,1800,-1.7,48,0.45,3.61,108.41
0,20130121,1900,-2.5,52,0.45,4.31,79.94
0,20130121,2000,-3.1,54,0.44,4.73,24.04
0,20130121,2100,-4,55,0.45,3.96,10.95
0,20130121,2200,-5.3,52,0.45,3.18,0.6
0,20130121,2300,-6.3,54,0.44,4.49,31.33
0,20130122,0,-7,58,0.45,3.76,75.55
0,20130122,100,-7.3,58,0.44,5.19,21.4
0,20130122,200,-7.3,55,0.44,4.81,89.84
0,20130122,300,-7.8,52,0.44,2.77,100.54
0,20130122,400,-8.5,54,0.44,4.73,24.58
